merchant_id,business_age_months,qris_volume_monthly,qris_active_days,ecommerce_rating,pln_delay_days,pdam_bill_avg,pdam_late_payments,risk_level,pln_delay_days_isna,ecommerce_rating_isna,pdam_bill_avg_isna,pdam_late_payments_isna,business_category_fnb,business_category_jasa,business_category_nan,business_category_retail,qris_active_ratio,pln_delay_ratio,volume_to_age_ratio,chronic_pln_delay,has_both_utilities
UMKM-00001,41,48270353,0,1.8,0.0,164523.0,0.0,1,0,0,0,0,0,1,0,0,0.0,0.0,1149294.119047619,0,1
UMKM-00002,40,45113896,4,2.0,2.0,77209.0,0.0,2,0,0,0,0,0,0,0,1,0.13333333333333333,0.04878048780487805,1100338.9268292682,0,1
UMKM-00004,13,18015582,18,1.4,0.0,217328.0,0.0,0,0,0,0,1,0,0,0,1,0.6,0.0,1286827.2857142857,0,1
UMKM-00006,100,31472592,5,4.6,0.0,92105.0,0.0,0,0,0,0,0,0,0,1,0,0.16666666666666666,0.0,311609.82178217825,0,1
UMKM-00007,15,27031542,14,3.2,0.0,150408.0,0.0,1,0,0,0,0,1,0,0,0,0.4666666666666667,0.0,1689471.375,0,1
UMKM-00010,21,9457123,23,2.0,0.0,497626.0,0.0,0,0,0,0,0,0,0,0,1,0.7666666666666667,0.0,429869.2272727273,0,1
UMKM-00011,49,9805348,26,4.6,0.0,456726.0,2.0,0,0,0,0,0,0,0,0,1,0.8666666666666667,0.0,196106.96,0,1
UMKM-00012,110,28532185,10,3.9,0.0,168747.0,2.0,0,0,0,0,0,0,1,0,0,0.3333333333333333,0.0,257046.71171171172,0,1
UMKM-00013,23,25810292,22,3.0,0.0,379488.0,0.0,0,0,1,0,0,0,1,0,0,0.7333333333333333,0.0,1075428.8333333333,0,1
UMKM-00016,64,11448643,28,4.3,0.0,115945.0,1.0,0,1,0,0,0,0,0,0,1,0.9333333333333333,0.0,176132.96923076923,0,0
UMKM-00017,57,27829829,30,4.3,0.0,181717.0,3.0,0,0,0,0,0,1,0,0,0,1.0,0.0,479824.6379310345,0,1
UMKM-00018,30,41858099,0,2.4,0.0,373408.0,2.0,1,0,0,0,0,0,1,0,0,0.0,0.0,1350261.2580645161,0,1
UMKM-00020,16,13410534,17,4.6,0.0,457142.0,3.0,0,0,0,0,0,1,0,0,0,0.5666666666666667,0.0,788854.9411764706,0,1
UMKM-00021,90,26188819,17,3.1,30.0,170050.0,1.0,0,0,0,0,0,0,0,0,1,0.5666666666666667,0.32967032967032966,287789.2197802198,1,1
UMKM-00022,10,2653005,5,4.5,0.0,182185.0,1.0,0,0,0,0,0,1,0,0,0,0.16666666666666666,0.0,241182.27272727274,0,1
UMKM-00024,63,26855021,0,3.4,0.0,361357.0,3.0,1,0,0,0,0,0,0,0,1,0.0,0.0,419609.703125,0,1
UMKM-00026,94,22726547,29,2.1,0.0,297487.0,0.0,0,1,0,0,0,1,0,0,0,0.9666666666666667,0.0,239226.8105263158,0,0
UMKM-00027,24,6280156,3,3.0,0.0,185664.0,1.0,0,0,0,0,0,0,0,1,0,0.1,0.0,251206.24,0,1
UMKM-00028,39,48744731,31,3.3,0.0,162695.0,1.0,0,0,0,0,0,1,0,0,0,1.0333333333333334,0.0,1218618.275,0,1
UMKM-00029,13,16925767,9,3.0,5.0,74552.0,1.0,0,0,1,0,0,0,1,0,0,0.3,0.35714285714285715,1208983.357142857,0,1
UMKM-00031,28,14072770,4,3.6,2.0,364262.0,0.0,0,0,0,0,0,0,0,0,0,0.13333333333333333,0.06896551724137931,485267.9310344828,0,1
