merchant_id,business_category,business_age_months,qris_volume_monthly,qris_active_days,ecommerce_rating,pln_delay_days,pdam_bill_avg,pdam_late_payments,risk_level
UMKM-00001,Jasa,41,"Rp 48,270,353",0,1.8,0.0,164523.0,0.0,1
UMKM-00002,Retail,40,"Rp 45,113,896",4,2.0,2.0,77209.0,0.0,2
UMKM-00003,jasa,46,"Rp 43,474,189",32,3.9,0.0,325907.0,3.0,0
UMKM-00004,RETAIL,13,"Rp 18,015,582",18,1.4,0.0,217328.0,,0
UMKM-00005,Jasa,71,"Rp 30,684,186",35,,0.0,240263.0,0.0,0
UMKM-00006,nan,100,"Rp 31,472,592",5,4.6,0.0,92105.0,0.0,0
UMKM-00007, F & B ,15,"Rp 27,031,542",14,3.2,0.0,150408.0,0.0,1
UMKM-00008,Jasa,58,7877037,35,2.1,15.0,397920.0,0.0,2
UMKM-00009,jasa,31,22185116,32,,,153423.0,1.0,1
UMKM-00010,RETAIL,21,9457123,23,2.0,0.0,497626.0,0.0,0
UMKM-00011,Retail,49,9805348,26,4.6,0.0,456726.0,2.0,0
UMKM-00012,jasa,110,28532185,10,3.9,0.0,168747.0,2.0,0
UMKM-00013,jasa,23,25810292,22,,0.0,379488.0,0.0,0
UMKM-00014, F & B ,14,48350357,32,4.1,0.0,202936.0,2.0,0
UMKM-00015,retail ,19,"Rp 20,744,597",40,3.0,0.0,311769.0,2.0,0
UMKM-00016,RETAIL,64,11448643,28,4.3,,115945.0,1.0,0
UMKM-00017,fnb,57,"Rp 27,829,829",30,4.3,0.0,181717.0,3.0,0
UMKM-00018,jasa,30,41858099,0,2.4,0.0,373408.0,2.0,1
UMKM-00019,retail ,-4,"Rp 32,413,908",33,2.6,0.0,133471.0,1.0,0
UMKM-00020,fnb,16,"Rp 13,410,534",17,4.6,0.0,457142.0,3.0,0
UMKM-00021,RETAIL,90,"Rp 26,188,819",17,3.1,30.0,170050.0,1.0,0
UMKM-00022,F&B,10,"Rp 2,653,005",5,4.5,0.0,182185.0,1.0,0
UMKM-00023,nan,12,27878179,39,3.5,,233811.0,0.0,0
UMKM-00024,retail ,63,"Rp 26,855,021",0,3.4,0.0,361357.0,3.0,1
UMKM-00025,Fashion,48,"Rp 16,799,439",41,1.1,2.0,469027.0,0.0,0
UMKM-00026,F&B,94,"Rp 22,726,547",29,2.1,,297487.0,0.0,0
UMKM-00027,nan,24,"Rp 6,280,156",3,3.0,0.0,185664.0,1.0,0
UMKM-00028, F & B ,39,"Rp 48,744,731",31,3.3,0.0,162695.0,1.0,0
UMKM-00029,Jasa,13,"Rp 16,925,767",9,,5.0,74552.0,1.0,0
UMKM-00030,Retail,81,28579735,42,3.9,0.0,374042.0,1.0,0
UMKM-00031,Fashion,28,"Rp 14,072,770",4,3.6,2.0,364262.0,0.0,0
UMKM-00032, F & B ,7,29814808,8,4.4,0.0,69744.0,3.0,1
UMKM-00033,RETAIL,37,"Rp 26,176,338",4,,0.0,334190.0,1.0,1
UMKM-00034, F & B ,56,19921824,10,3.6,0.0,393509.0,3.0,2
